﻿﻿TradeDate;SecurityId;Symbol;ISIN;SecurityName;SecurityTypeId;SecurityType;IsStock;Market;CompanyId;Gics;Bid;Offer;Open;High;Low;Last;Generic;AdjBid;AdjOffer;AdjOpen;AdjHigh;AdjLow;AdjLast;AdjGeneric;Vwap;ReturnLast;ReturnGeneric;ReturnAdjLast;ReturnAdjGeneric;LogReturnLast;LogReturnGeneric;LogReturnAdjLast;LogReturnAdjGeneric;OffShareTurnover;OffTurnover;NonOffShareTurnover;NonOffTurnover;SharesIssued;DivFactor;CumDivFactor;LastQAccount;LastYAccount;
2019-09-30 00:00:00;6270;ODFB;NO0003399917;Odfjell ser. B;3;B Shares;1;OSE;2366;20303010;28.4000;28.6000;27.6000;28.8000;27.6000;28.4000;28.4000;28.4000;28.6000;27.6000;28.8000;27.6000;28.4000;28.4000;28.2643;;0.136;;0.136;;0.12751332029896;;0.12751332029896;40731;1120226.4;2064943;55753461;21078704;;1;;;
2019-09-30 00:00:00;6282;TOM;NO0005668905;Tomra Systems;1;Ordinary Shares;1;OSE;2392;20201050;242.8000;243.0000;242.8000;243.4000;238.8000;243.0000;243.0000;242.8000;243.0000;242.8000;243.4000;238.8000;243.0000;243.0000;241.3879;;-0.05078125;;-0.050747442958301;;-0.052116001139014;;-0.052080386124367;7513779;1865613023.8;986125;241563516.3936;148020078;;0.99298827129016;;;
2019-09-30 00:00:00;6288;STB;NO0003053605;Storebrand;1;Ordinary Shares;1;OSE;1955;40301030;57.3600;57.4800;57.1000;57.8600;56.4000;57.4400;57.4400;57.3600;57.4800;57.1000;57.8600;56.4000;57.4400;57.4400;57.2641;;0.09534706331045;;0.09534706331045;;0.091071265844469;;0.091071265844469;25113274;1401412045.66;750478;41408180.19;467813982;;1;;;
2019-09-30 00:00:00;6296;VEI;NO0005806802;Veidekke;1;Ordinary Shares;1;OSE;2400;20103010;102.1000;102.9000;101.2000;103.0000;101.2000;102.1000;102.1000;102.1000;102.9000;101.2000;103.0000;101.2000;102.1000;102.1000;102.1903;;0.083864118895966;;0.083864118895966;;0.080532543588302;;0.080532543588302;2422517;239769090.7;1386537;135847965.8;133704942;;1;;;
2019-09-30 00:00:00;6306;VVL;NO0003025009;Voss Veksel- og Landmandsbank;1;Ordinary Shares;1;OSE;2403;40101015;162.0000;165.0000;164.0000;165.0000;164.0000;165.0000;165.0000;161.8693;164.8668;163.8677;164.8668;163.8677;164.8668;164.8668;164.6701;;0;;0;;0;;0;4292;711428;;;1900000;;1;;;
2019-09-30 00:00:00;6310;WWI;NO0010571698;Wilh. Wilhelmsen Holding ser. A;2;A Shares;1;OSE;2405;20303010;142.0000;143.5000;141.0000;143.5000;141.0000;142.0000;142.0000;142.0000;143.5000;141.0000;143.5000;141.0000;142.0000;142.0000;142.0293;;0.071698113207547;;0.071702544031311;;0.069244412174984;;0.069248546561851;100709;13741612;657859;93453712.5;34537092;;0.96418171228888;;;
2019-09-30 00:00:00;6311;WWIB;NO0010576010;Wilh. Wilhelmsen Holding ser. B;3;B Shares;1;OSE;2405;20303010;143.0000;143.5000;143.5000;143.5000;139.0000;143.0000;143.0000;143.0000;143.5000;143.5000;143.5000;139.0000;143.0000;143.0000;142.9990;;0.055350553505535;;0.055389794200903;;0.053872989940151;;0.053910171865834;34348;4657838.5;1392231;199398239.75;11866732;;0.96468074409251;;;
2019-09-30 00:00:00;15120;MING;NO0006390301;SpareBank 1 SMN;26;Primary Capital Certificates;1;OSE;1695;;98.5000;98.6000;97.9000;98.5000;96.6000;98.5000;98.5000;98.5000;98.6000;97.9000;98.5000;96.6000;98.5000;98.5000;97.9522;;0.026041666666667;;0.026052779337451;;0.025708356710207;;0.025719187274858;2360974;229049056.6;558098;54024262.194;129836443;;0.92764109985528;;;
2019-09-30 00:00:00;15121;NONG;NO0006000801;SpareBank 1 Nord-Norge;26;Primary Capital Certificates;1;OSE;1972;;67.8000;67.9000;68.4000;68.4000;67.5000;67.9000;67.9000;67.8000;67.9000;68.4000;68.4000;67.5000;67.9000;67.9000;67.8537;;0;;0;;0;;0;1331620;91133922.8;341450;23468182.15;100398016;;0.92766726943942;;;
2019-09-30 00:00:00;15145;SBVG;NO0006000207;SpareBank 1 BV;26;Primary Capital Certificates;1;OSE;2352;;37.0000;37.4000;37.1000;37.4000;36.9000;37.4000;37.4000;37.0000;37.4000;37.1000;37.4000;36.9000;37.4000;37.4000;37.1570;;0.010810810810811;;0.010740203193033;;0.010752791776262;;0.010682936880375;393181;14601004.3;584972;21784182.1;63101353;;0.93105413105413;;;
