Forward looking risk free rates, 1m (estimated from govmt securities and NIBOR)
date,Rf(1m)
20230831,0.00362
20230930,0.00374
20231031,0.00370
20231130,0.00372
20231231,0.00383
20240131,0.00386
20240229,0.00387
20240331,0.00384
20240430,0.00385
20240531,0.00387
20240630,0.00384
20240731,0.00386
20240831,0.00387
20240930,0.00387
20241031,0.00387
20241130,0.00388
20241231,0.00384
20250131,0.00380
20250228,0.00376
20250331,0.00374
20250430,0.00376
