﻿﻿TradeDate;Last;
2015-01-30 00:00:00;.1700;
2015-01-30 00:00:00;3.5000;
2015-01-30 00:00:00;.4700;
2015-01-30 00:00:00;3.4700;
2015-01-30 00:00:00;.1600;
2015-01-30 00:00:00;.2800;
2015-01-30 00:00:00;1.7400;
2015-01-30 00:00:00;.6100;
2015-01-30 00:00:00;1.4800;
2015-01-30 00:00:00;.1000;
2015-01-30 00:00:00;2.8200;
2015-01-30 00:00:00;2.0300;
2015-01-30 00:00:00;.3100;
2015-01-30 00:00:00;.4400;
2015-01-30 00:00:00;.4300;
2015-01-30 00:00:00;.0800;
2015-01-30 00:00:00;.6100;
2015-01-30 00:00:00;.0800;
2015-01-30 00:00:00;.7600;
2015-01-30 00:00:00;.8700;
2015-01-30 00:00:00;.2700;
2015-01-30 00:00:00;.5600;
2015-01-30 00:00:00;.2600;
2015-01-30 00:00:00;.2600;
2015-02-03 00:00:00;.2000;
2015-02-09 00:00:00;.4100;
2015-02-13 00:00:00;3.0700;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;8.6100;
2015-02-13 00:00:00;.6600;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;3.2100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-13 00:00:00;.0100;
2015-02-18 00:00:00;2.1600;
2015-02-18 00:00:00;.8700;
2015-02-19 00:00:00;.3200;
2015-02-25 00:00:00;29.6000;
2015-02-27 00:00:00;2000.0000;
2015-02-27 00:00:00;12.6000;
2015-02-27 00:00:00;66.0000;
2015-02-27 00:00:00;67.7500;
2015-02-27 00:00:00;124.8000;
2015-02-27 00:00:00;14.9800;
2015-02-27 00:00:00;56.0000;
2015-02-27 00:00:00;38.6000;
2015-02-27 00:00:00;6.0600;
2015-02-27 00:00:00;67.7500;
2015-02-27 00:00:00;58.0000;
2015-02-27 00:00:00;57.5000;
2015-02-27 00:00:00;17.2000;
2015-02-27 00:00:00;86.5000;
2015-02-27 00:00:00;233.0000;
2015-02-27 00:00:00;145.0000;
2015-02-27 00:00:00;43.8000;
2015-02-27 00:00:00;5.0200;
2015-02-27 00:00:00;174.0000;
2015-02-27 00:00:00;60.2000;
2015-02-27 00:00:00;43.2400;
2015-02-27 00:00:00;456.3000;
2015-02-27 00:00:00;96.0000;
2015-02-27 00:00:00;26.3000;
2015-02-27 00:00:00;21.7000;
2015-02-27 00:00:00;20.5000;
2015-02-27 00:00:00;69.7500;
2015-02-27 00:00:00;27.2900;
2015-02-27 00:00:00;91.5000;
